IssueID,Table,Field,Issue,IssueCount,IssuePercent,Severity,BusinessImpact,RecommendedRemediation
DQ-014,admissions,DischargeDateTime,Discharge occurs before admission,53,0.299,Critical,Creates negative length of stay and invalid inpatient performance metrics.,Flag and quarantine invalid date sequences before calculating LOS.
DQ-001,patients,PatientID,Duplicate PatientID values,20,0.2,Critical,"Duplicate patient identifiers can cause double-counting, incorrect patient-level aggregation, and unreliable joins.","Investigate duplicate identifiers, retain one canonical patient record, and quarantine unresolved conflicts."
DQ-009,encounters,ProviderID,Completed encounter missing ProviderID,900,1.0,High,Provider-level productivity and utilization metrics may be understated.,Retain null only where operationally valid; otherwise assign Unknown Provider for reporting.
DQ-019,lab_results,ResultUnit,Missing ResultUnit,700,0.7,High,Numeric lab results without units may be ambiguous and unreliable for analytical interpretation.,Derive the expected unit from LabTest where the mapping is deterministic.
DQ-010,encounter_diagnoses,DiagnosisID,Invalid DiagnosisID foreign keys,459,0.299,High,Diagnosis-level prevalence and utilization reporting may be incomplete.,Map valid codes where possible; otherwise classify as Unknown/Unmapped Diagnosis.
DQ-011,encounter_diagnoses,EncounterID + DiagnosisID,Duplicate encounter-diagnosis business keys,459,0.299,High,"Duplicate diagnoses can overstate diagnosis counts, condition prevalence, and diagnosis-level utilization.",Deduplicate identical encounter-diagnosis assignments after validating diagnosis type consistency.
DQ-008,encounters,ProviderStartDateTime,ProviderStartDateTime precedes ArrivalDateTime,450,0.5,High,Produces negative wait times and invalid operational performance metrics.,Flag invalid timestamp sequences and exclude those records from wait-time KPI calculations until corrected.
DQ-020,lab_results,ResultUnit,Incorrect ResultUnit for LabTest,300,0.3,High,Incorrect units can lead to invalid comparisons and misclassification of laboratory results.,Standardize ResultUnit using the approved LabTest-to-unit map.
DQ-005,encounters,DepartmentID,Invalid DepartmentID foreign keys,270,0.3,High,Affected encounters cannot be reliably attributed to departments or facilities.,Map valid department identifiers where recoverable; otherwise assign an Unknown/Unmapped department key.
DQ-017,appointments,AppointmentDateTime,Appointment occurs before ScheduledDate,200,0.4,High,Produces negative booking lead time and invalid scheduling-efficiency analysis.,Flag invalid records and exclude them from booking-lead time calculations.
DQ-021,lab_results,ReferenceLow / ReferenceHigh,ReferenceLow exceeds ReferenceHigh,200,0.2,High,Invalid reference ranges can produce incorrect abnormal-result classification.,Replace invalid ranges using approved reference values for each synthetic lab test.
DQ-006,encounters,EncounterCost,Negative encounter cost,180,0.2,High,Negative costs can understate total and average cost KPIs.,Flag invalid negative values and exclude them from financial KPIs unless a verified adjustment/credit meaning exists.
DQ-012,encounter_procedures,ProcedureID,Invalid ProcedureID foreign keys,140,0.199,High,Procedure utilization and cost reporting may be incomplete.,Map valid procedure identifiers where possible or assign Unknown/Unmapped Procedure.
DQ-013,encounter_procedures,ProcedureCost,Negative ProcedureCost,140,0.199,High,Negative procedure costs distort service-line and procedure-level cost analysis.,Flag and exclude invalid negative values from cost KPIs unless verified as legitimate adjustments.
DQ-015,admissions,FollowUpDate,Completed follow-up missing FollowUpDate,88,0.496,High,Prevents reliable measurement of follow-up timing and post-discharge care.,Flag inconsistent records and exclude them from time-to-follow-up calculations.
DQ-004,patients,BirthDate,BirthDate after study period,10,0.1,High,Invalid birth dates produce incorrect age and age-group calculations used in population analysis.,Flag impossible dates and exclude them from age-derived calculations until corrected.
DQ-007,encounters,EncounterType,Non-standard EncounterType values,450,0.5,Medium,Inconsistent encounter categories fragment utilization metrics across dashboards.,"Map known variants such as ER, emergency, and Out Patient to approved encounter categories."
DQ-018,appointments,ProviderID,Missing ProviderID,400,0.8,Medium,Provider-level scheduling and capacity analysis may be incomplete.,Assign Unknown Provider where unresolved while preserving the appointment for department-level reporting.
DQ-016,appointments,AppointmentStatus,Invalid AppointmentStatus values,150,0.3,Medium,"Invalid status categories distort no-show, completion, cancellation, and rescheduling KPIs.",Standardize known variants to approved appointment statuses.
DQ-003,patients,Gender,Non-standard Gender categories,50,0.5,Medium,Inconsistent categories fragment demographic reporting and create duplicate dashboard groups.,Standardize known variations to approved categories.
